UBIGEO,ANIO,MESES_CON_PROD,MESES_CON_PRECIO_OK,PRICE_COVERAGE,ALL_PRICE_OK
200101,2015,57,57,1.0,True
200101,2016,135,135,1.0,True
200101,2017,118,118,1.0,True
200101,2018,104,104,1.0,True
200101,2019,110,110,1.0,True
200101,2020,121,121,1.0,True
200101,2021,132,132,1.0,True
200101,2022,109,109,1.0,True
200101,2023,114,114,1.0,True
200101,2024,113,113,1.0,True
200104,2015,48,48,1.0,True
200104,2016,100,100,1.0,True
200104,2017,85,85,1.0,True
200104,2018,73,73,1.0,True
200104,2019,89,89,1.0,True
200104,2020,88,88,1.0,True
200104,2021,85,85,1.0,True
200104,2022,87,87,1.0,True
200104,2023,73,73,1.0,True
200104,2024,73,73,1.0,True
200105,2015,44,44,1.0,True
200105,2016,125,125,1.0,True
200105,2017,103,103,1.0,True
200105,2018,96,96,1.0,True
200105,2019,122,122,1.0,True
200105,2020,119,119,1.0,True
200105,2021,127,127,1.0,True
200105,2022,103,103,1.0,True
200105,2023,108,108,1.0,True
200105,2024,108,108,1.0,True
200107,2015,42,42,1.0,True
200107,2016,93,93,1.0,True
200107,2017,76,76,1.0,True
200107,2018,78,78,1.0,True
200107,2019,100,100,1.0,True
200107,2020,108,108,1.0,True
200107,2021,106,106,1.0,True
200107,2022,92,92,1.0,True
200107,2023,79,79,1.0,True
200107,2024,78,78,1.0,True
200108,2015,12,12,1.0,True
200108,2016,37,37,1.0,True
200108,2017,37,37,1.0,True
200108,2018,31,31,1.0,True
200108,2019,49,49,1.0,True
200108,2020,64,64,1.0,True
200108,2021,71,71,1.0,True
200108,2022,65,65,1.0,True
200108,2023,83,83,1.0,True
200108,2024,79,79,1.0,True
200109,2015,39,39,1.0,True
200109,2016,86,86,1.0,True
200109,2017,73,73,1.0,True
200109,2018,71,71,1.0,True
200109,2019,73,73,1.0,True
200109,2020,87,87,1.0,True
200109,2021,97,97,1.0,True
200109,2022,96,96,1.0,True
200109,2023,86,86,1.0,True
200109,2024,83,83,1.0,True
200110,2015,31,31,1.0,True
200110,2016,67,67,1.0,True
200110,2017,67,67,1.0,True
200110,2018,66,66,1.0,True
200110,2019,64,64,1.0,True
200110,2020,84,84,1.0,True
200110,2021,73,73,1.0,True
200110,2022,72,72,1.0,True
200110,2023,46,46,1.0,True
200110,2024,46,46,1.0,True
200111,2015,42,42,1.0,True
200111,2016,89,89,1.0,True
200111,2017,82,82,1.0,True
200111,2018,81,81,1.0,True
200111,2019,76,76,1.0,True
200111,2020,57,57,1.0,True
200111,2021,62,62,1.0,True
200111,2022,67,67,1.0,True
200111,2023,77,77,1.0,True
200111,2024,73,73,1.0,True
200114,2015,54,54,1.0,True
200114,2016,114,114,1.0,True
200114,2017,107,107,1.0,True
200114,2018,100,100,1.0,True
200114,2019,88,88,1.0,True
200114,2020,63,63,1.0,True
200114,2021,90,90,1.0,True
200114,2022,96,96,1.0,True
200114,2023,105,105,1.0,True
200114,2024,104,104,1.0,True
200201,2015,54,54,1.0,True
200201,2016,150,150,1.0,True
200201,2017,142,142,1.0,True
200201,2018,131,131,1.0,True
200201,2019,114,114,1.0,True
200201,2020,123,123,1.0,True
200201,2021,122,122,1.0,True
200201,2022,122,122,1.0,True
200201,2023,141,141,1.0,True
200201,2024,166,166,1.0,True
200202,2015,21,21,1.0,True
200202,2016,41,41,1.0,True
200202,2017,52,52,1.0,True
200202,2018,57,57,1.0,True
200202,2019,60,60,1.0,True
200202,2020,53,53,1.0,True
200202,2021,55,55,1.0,True
200202,2022,53,53,1.0,True
200202,2023,53,53,1.0,True
