ANIO,CULTIVO_STD,TIPO_CULTIVO,area_sembrada_ha,area_cosechada_ha,produccion_t,valor_prod_s,rendimiento_t_ha,n_obs_precio_val,n_obs_total,precio_prom_s_kg
2015,Achita  Kiwicha  O Amaranto,Transitorio,0.0,0.0,0.0,0.0,,0,4,
2015,Aji,Transitorio,0.0,0.0,0.0,0.0,,0,25,
2015,Ajo,Transitorio,17.0,76.0,181.0,1372800.0,2.3166666666666664,8,42,7.584530386740331
2015,Alfalfa,Permanente,0.0,143.0,989.0,489320.0,1.4258173801417648,47,60,0.49476238624873603
2015,Algodon,Transitorio,0.0,63.0,25.0,65000.0,0.3968253968253968,1,1,2.6
2015,Algodon Hibrido Hazera,Transitorio,0.0,0.0,0.0,0.0,,0,2,
2015,Algodon Pima,Transitorio,0.0,2253.0,1630.0,5359090.0,0.7551594216861198,20,63,3.28778527607362
2015,Arroz,Transitorio,20762.0,7357.0,68943.0,85987850.0,7.560239037266548,28,170,1.2472310459364981
2015,Arveja Grano Seco,Transitorio,0.0,4208.0,2966.0,7558580.0,0.8316696508949308,34,50,2.5484086311530683
2015,Arveja Grano Verde,Transitorio,111.0,249.0,513.0,1014200.0,2.296031746031746,12,23,1.9769980506822613
2015,Avena Forrajera,Transitorio,0.0,0.0,0.0,0.0,,0,8,
2015,Banano (Musa Acuminata),Permanente,0.0,0.0,0.0,0.0,,0,5,
2015,Betarraga,Transitorio,16.0,4.0,32.0,32000.0,8.0,2,9,1.0
2015,Ca A De Azucar (Para Alcohol),Permanente,0.0,4908.0,45917.0,9295550.0,1.579694467507162,92,115,0.20244245050852627
2015,Cacao,Permanente,0.0,1138.0,201.5,1059950.0,0.08750924437596189,21,100,5.26029776674938
2015,Cafeto,Permanente,0.0,7511.0,562.0,4293000.0,0.05870252868237053,16,100,7.6387900355871885
2015,Camote,Transitorio,475.0,511.0,9560.0,9551000.0,10.188352902804958,35,123,0.9990585774058578
2015,Capuli (Prunus Serotina Ssp. Capuli),Permanente,0.0,0.0,0.0,0.0,,0,5,
2015,Cebada Grano,Transitorio,0.0,263.0,200.0,246700.0,0.844333880405309,14,22,1.2335
2015,Cebolla,Transitorio,186.0,192.0,4818.0,5010900.0,28.906666666666666,25,81,1.0400373599003736
2015,Chirimoyo,Permanente,10.0,0.0,0.0,0.0,,0,100,
2015,Ciruelo (Ciruela Spondias),Permanente,0.0,581.0,431.0,423400.0,0.5499011353488965,41,130,0.9823665893271462
2015,Cocotero,Permanente,2.0,106.0,605.0,319200.0,3.773936170212766,31,90,0.527603305785124
2015,Coliflor,Transitorio,0.0,0.0,0.0,0.0,,0,5,
2015,Esparrago,Permanente,0.0,0.0,0.0,0.0,,0,45,
2015,Frijol Caupi Chiclayo Castilla Chileno Grano Seco,Transitorio,1823.0,1635.0,3339.0,8777480.0,1.87622086569761,40,116,2.628775082359988
2015,Frijol Caupi Chiclayo Castilla Chileno Grano Verde,Transitorio,55.0,55.0,103.0,305760.0,1.8731308948700252,3,9,2.9685436893203883
2015,Frijol De Palo Grano Seco (T.),Transitorio,42.0,15.0,36.0,96000.0,3.525,3,45,2.6666666666666665
2015,Frijol Grano Seco,Transitorio,906.0,2364.0,1689.0,5159300.0,0.8167384351677485,21,57,3.054647720544701
2015,Girasol,Transitorio,0.0,0.0,0.0,0.0,,0,5,
2015,Granadilla,Permanente,0.0,9.0,7.0,10500.0,0.7777777777777778,1,100,1.5
2015,Guanabano,Permanente,0.0,24.0,12.581999999999999,98220.0,0.2843846153846154,24,65,7.8063900810681925
2015,Guayabo,Permanente,0.0,0.0,0.0,0.0,,0,35,
