ANIO,MES,CAMPANA,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,CULTIVO_STD,CULTIVO_NORM,TIPO_CULTIVO,SIEMBRA,COSECHA,PRODUCCION,RENDIMIENTO_T_HA,PRECIO_CHACRA,VALOR_PROD_S
2015,201508,,PIURA,Piura,Tambo Grande,200114,Aji,AJI,Transitorio,0.0,0.0,0.0,,0.0,0.0
2015,201508,,PIURA,Morropon,Chulucanas,200401,Aji,AJI,Transitorio,0.0,0.0,0.0,,0.0,0.0
2015,201508,,PIURA,Morropon,Santo Domingo,200409,Aji,AJI,Transitorio,0.0,0.0,0.0,,0.0,0.0
2015,201508,,PIURA,Paita,La Huaca,200505,Aji,AJI,Transitorio,0.0,0.0,0.0,,0.0,0.0
2015,201508,,PIURA,Sullana,Sullana,200601,Aji,AJI,Transitorio,0.0,0.0,0.0,,0.0,0.0
2015,201508,,PIURA,Ayabaca,Ayabaca,200201,Ajo,AJO,Transitorio,0.0,0.0,0.0,,0.0,0.0
2015,201508,,PIURA,Ayabaca,Lagunas,200204,Ajo,AJO,Transitorio,0.0,0.0,0.0,,0.0,0.0
2015,201508,,PIURA,Ayabaca,Pacaipampa,200206,Ajo,AJO,Transitorio,0.0,0.0,0.0,,0.0,0.0
2015,201508,,PIURA,Ayabaca,Sicchez,200209,Ajo,AJO,Transitorio,0.0,0.0,0.0,,0.0,0.0
2015,201508,,PIURA,Huancabamba,Huancabamba,200301,Ajo,AJO,Transitorio,0.0,3.0,6.0,2.0,7.0,42000.0
2015,201508,,PIURA,Huancabamba,El Carmen De La Frontera,200303,Ajo,AJO,Transitorio,0.0,1.0,2.0,2.0,7.0,14000.0
2015,201508,,PIURA,Huancabamba,Huarmaca,200304,Ajo,AJO,Transitorio,0.0,0.0,0.0,,0.0,0.0
2015,201508,,PIURA,Morropon,Chalaco,200403,Ajo,AJO,Transitorio,0.0,0.0,0.0,,0.0,0.0
2015,201508,,PIURA,Morropon,Santo Domingo,200409,Ajo,AJO,Transitorio,0.0,0.0,0.0,,0.0,0.0
2015,201508,,PIURA,Morropon,Yamango,200410,Ajo,AJO,Transitorio,15.0,0.0,0.0,,0.0,0.0
2015,201508,,PIURA,Piura,Piura,200101,Alfalfa,ALFALFA,Permanente,0.0,0.0,10.0,,0.7,7000.0
2015,201508,,PIURA,Piura,Castilla,200104,Alfalfa,ALFALFA,Permanente,0.0,0.0,36.0,,0.7,25200.0
2015,201508,,PIURA,Piura,Catacaos,200105,Alfalfa,ALFALFA,Permanente,0.0,0.0,66.0,,0.7,46200.0
2015,201508,,PIURA,Piura,Cura Mori,200107,Alfalfa,ALFALFA,Permanente,0.0,0.0,3.0,,0.7,2100.0
2015,201508,,PIURA,Piura,La Arena,200109,Alfalfa,ALFALFA,Permanente,0.0,0.0,2.0,,0.7,1400.0
2015,201508,,PIURA,Piura,La Union,200110,Alfalfa,ALFALFA,Permanente,0.0,0.0,2.0,,0.7,1400.0
2015,201508,,PIURA,Huancabamba,Huancabamba,200301,Alfalfa,ALFALFA,Permanente,0.0,0.0,60.0,,0.25,15000.0
2015,201508,,PIURA,Huancabamba,Canchaque,200302,Alfalfa,ALFALFA,Permanente,0.0,0.0,0.0,,0.0,0.0
2015,201508,,PIURA,Huancabamba,El Carmen De La Frontera,200303,Alfalfa,ALFALFA,Permanente,0.0,0.0,38.0,,0.25,9500.0
2015,201508,,PIURA,Huancabamba,Sondorillo,200308,Alfalfa,ALFALFA,Permanente,0.0,0.0,30.0,,0.25,7500.0
2015,201508,,PIURA,Paita,Vichayal,200507,Alfalfa,ALFALFA,Permanente,0.0,0.0,0.0,,0.0,0.0
2015,201508,,PIURA,Sechura,Bernal,200803,Alfalfa,ALFALFA,Permanente,0.0,0.0,0.0,,0.0,0.0
2015,201508,,PIURA,Paita,Colan,200504,Algodon,ALGODON,Transitorio,0.0,63.0,25.0,0.3968253968253968,2.6,65000.0
2015,201508,,PIURA,Sullana,Sullana,200601,Algodon Hibrido Hazera,ALGODON HIBRIDO HAZERA,Transitorio,0.0,0.0,0.0,,0.0,0.0
2015,201508,,PIURA,Piura,Castilla,200104,Algodon Pima,ALGODON PIMA,Transitorio,0.0,32.0,13.0,0.40625,3.31,43030.0
2015,201508,,PIURA,Piura,Catacaos,200105,Algodon Pima,ALGODON PIMA,Transitorio,0.0,738.0,426.0,0.5772357723577236,3.31,1410060.0
2015,201508,,PIURA,Piura,Cura Mori,200107,Algodon Pima,ALGODON PIMA,Transitorio,0.0,324.0,93.0,0.28703703703703703,3.31,307830.0
2015,201508,,PIURA,Piura,El Tallan,200108,Algodon Pima,ALGODON PIMA,Transitorio,0.0,246.0,210.0,0.8536585365853658,3.31,695100.0
2015,201508,,PIURA,Piura,La Arena,200109,Algodon Pima,ALGODON PIMA,Transitorio,0.0,405.0,346.0,0.854320987654321,3.31,1145260.0
